template_id,template_text,example_reply,stage,scene,agency_intent,tone,count,reusable_score,business_value_score,source_sample_ids
tpl_f025b71ddecb,如果您这边只能[NUMBER]号支付的话，赶一赶应该[NUMBER]号发布没问题，但是难免会有风险，所以您这边尽量申请一下明天付款,如果您这边只能26号支付的话，赶一赶应该30号发布没问题，但是难免会有风险，所以您这边尽量申请一下明天付款,schedule_confirmation,confirm_schedule,address_concern,polite,1,0.70,0.80,conv_3e9d65092ba6_sample_0052
tpl_24496f19f9aa,那这个有bug呀，我们[NUMBER]号发布档期，如果我[NUMBER]号才能付出去款那哪还能[NUMBER]号发布呀,那这个有bug呀，我们30号发布档期，如果我30号才能付出去款那哪还能30号发布呀,schedule_confirmation,confirm_schedule,unknown,friendly,1,0.60,1.00,conv_3e9d65092ba6_sample_0035
tpl_1d41dac2b076,因为只跟我说报价贵了[发抖],因为只跟我说报价贵了[发抖],price_negotiation,bargain,inquire_price,neutral,1,0.60,0.90,conv_02c2b27559a9_sample_0014
tpl_343ddef00a2c,这个档期可以空[NUMBER]h的哈,这个档期可以空48h的哈,schedule_confirmation,confirm_schedule,unknown,friendly,1,0.60,0.90,conv_456b1467c305_sample_0137
tpl_33637f6cd247,收到，[NUMBER]、是指相同方向一模一样的内容不能重复接单,收到，11、是指相同方向一模一样的内容不能重复接单,brief_alignment,send_brief,unknown,neutral,1,0.60,0.80,conv_3e9d65092ba6_sample_0023
tpl_a17860f9fe04,老师咱们全平台私单[NUMBER]w都包含哪几个平台呀，另外如果不能[NUMBER]h不发布的话能否给送个置顶一周呀，因为网易客户现在这个卡的很严,老师咱们全平台私单5w都包含哪几个平台呀，另外如果不能48h不发布的话能否给送个置顶一周呀，因为网易客户现在这个卡的很严,brief_alignment,send_brief,unknown,friendly,1,0.60,0.80,conv_ead765b0087f_sample_0099
tpl_f4ce94452f54,对了阿一剧情的话他[NUMBER]-[NUMBER]s报价是多少呀,对了阿一剧情的话他21-60s报价是多少呀,price_inquiry,ask_price,inquire_price,friendly,1,0.60,0.70,conv_456b1467c305_sample_0132
tpl_aee9e44bde33,暂定的是[NUMBER],暂定的是5.9,schedule_confirmation,confirm_schedule,unknown,neutral,1,0.60,0.70,conv_02c2b27559a9_sample_0017
tpl_827f56057fa4,我可以给你推个千川维护的渠道哈哈这样下次你接其他商单也能用，但是这单我们维护费用扣完利润就不够啦，所以才来求求能不能给承担些[可怜],我可以给你推个千川维护的渠道哈哈这样下次你接其他商单也能用，但是这单我们维护费用扣完利润就不够啦，所以才来求求能不能给承担些[可怜],price_inquiry,ask_price,inquire_price,friendly,1,0.60,0.50,conv_503da36f9a4b_sample_0097
tpl_874a1421b7c1,ok营业执照催催，[NUMBER]档期,ok营业执照催催，9.30档期,interest_probe,ask_availability,unknown,neutral,1,0.60,0.20,conv_3e9d65092ba6_sample_0030
tpl_ad38b7b82980,老师咱们最近是涨价了嘛，客户说我们报的比上次合作的贵[苦涩],老师咱们最近是涨价了嘛，客户说我们报的比上次合作的贵[苦涩],interest_probe,ask_availability,explain_collaboration,neutral,1,0.60,0.10,conv_503da36f9a4b_sample_0072
tpl_fb24f3790d92,阿一星图是[NUMBER][NUMBER]；能改价到[NUMBER][NUMBER]再返[NUMBER]是么,阿一星图是38000；能改价到35000再返30是么,price_inquiry,ask_price,unknown,neutral,1,0.40,0.50,conv_456b1467c305_sample_0143
tpl_d86c8b121619,收收，咱们需要自己配个拍摄用的花弓这个道具ok的吼；因为衣服这个档期不一定来的及，如果需要自己租（一般情况下会是大货）这样费用能含嘛,收收，咱们需要自己配个拍摄用的花弓这个道具ok的吼；因为衣服这个档期不一定来的及，如果需要自己租（一般情况下会是大货）这样费用能含嘛,brief_alignment,send_brief,inquire_price,neutral,1,0.30,1.00,conv_456b1467c305_sample_0117
tpl_b567a942333c,咱们报价不能再便宜了嘛,咱们报价不能再便宜了嘛,price_negotiation,bargain,inquire_price,neutral,1,0.30,0.90,conv_503da36f9a4b_sample_0077
tpl_f6877692a09a,最快档期能是什么时间了呀,最快档期能是什么时间了呀,schedule_confirmation,confirm_schedule,confirm_schedule,friendly,1,0.30,0.90,conv_456b1467c305_sample_0126
tpl_f48b750f78ce,好滴收，快手可以赠送哈，分发付费的是B站和小红书，这俩平台有分发分别报价吗,好滴收，快手可以赠送哈，分发付费的是B站和小红书，这俩平台有分发分别报价吗,price_inquiry,ask_price,inquire_price,friendly,1,0.30,0.70,conv_ead765b0087f_sample_0100
tpl_e41eaaea5ea0,如果是达人朋友的有账号的话，希望能带发布，看看能不能分别给下报价呀,如果是达人朋友的有账号的话，希望能带发布，看看能不能分别给下报价呀,price_inquiry,ask_price,inquire_price,friendly,1,0.30,0.70,conv_456b1467c305_sample_0125
tpl_679726557c98,好啵，咱们视频号这种有嘛,好啵，咱们视频号这种有嘛,schedule_confirmation,confirm_schedule,unknown,neutral,1,0.30,0.70,conv_ead765b0087f_sample_0108
tpl_7f6a1f7d95fd,而且明天月初价格还能改回去,而且明天月初价格还能改回去,price_inquiry,ask_price,unknown,neutral,1,0.30,0.60,conv_3e9d65092ba6_sample_0060
tpl_7f5075e89771,张开档期可以暂留了~我们周一过完流程再拉群确认合作,张开档期可以暂留了~我们周一过完流程再拉群确认合作,interest_probe,ask_availability,explain_collaboration,neutral,1,0.30,0.30,conv_3e9d65092ba6_sample_0026
tpl_4fa9d0d32a38,我们公司入库使用，后续其他合作可以直接走对公合作,我们公司入库使用，后续其他合作可以直接走对公合作,interest_probe,ask_availability,introduce_self,neutral,1,0.30,0.10,conv_3e9d65092ba6_sample_0028
tpl_ed3d852df44a,肯呢个得尽快申请下了，不入库拉不了群执行,肯呢个得尽快申请下了，不入库拉不了群执行,interest_probe,ask_availability,unknown,polite,1,0.30,0.10,conv_3e9d65092ba6_sample_0029
tpl_4bb53bfe7e7c,我先反馈下，就是上次是直播+切片一起合作的嘛还是只买了切片,我先反馈下，就是上次是直播+切片一起合作的嘛还是只买了切片,interest_probe,ask_availability,explain_collaboration,neutral,1,0.30,0.10,conv_503da36f9a4b_sample_0074
tpl_1706518c942c,虽然这单是星图，但是确实有这样一个流程，麻烦了，后面跟微梦再有水下合作的话就不用再提供了,虽然这单是星图，但是确实有这样一个流程，麻烦了，后面跟微梦再有水下合作的话就不用再提供了,interest_probe,ask_availability,explain_collaboration,polite,1,0.30,0.10,conv_503da36f9a4b_sample_0085
tpl_21d30ddde6d9,嗯嗯是的，只是公司内部的一个小流程，不涉及其他,嗯嗯是的，只是公司内部的一个小流程，不涉及其他,identity_intro,self_intro,introduce_self,neutral,1,0.30,0.10,conv_503da36f9a4b_sample_0087
tpl_545a149bacc5,对的逆水寒，合作抖音单平台水下，送快手+抖音置顶一周,对的逆水寒，合作抖音单平台水下，送快手+抖音置顶一周,interest_probe,ask_availability,explain_collaboration,neutral,1,0.30,0.10,conv_ead765b0087f_sample_0114
tpl_f3a97fb7fe5f,okok是达人自己的公司哈,okok是达人自己的公司哈,identity_intro,self_intro,introduce_self,friendly,1,0.30,0.00,conv_3e9d65092ba6_sample_0032
tpl_a7e2d0715be9,我们可以先走个确认合作的邮件,我们可以先走个确认合作的邮件,interest_probe,ask_availability,explain_collaboration,neutral,1,0.30,0.00,conv_3e9d65092ba6_sample_0034
tpl_43325bb96ccd,小红书不要了，客户没选,小红书不要了，客户没选,closing,wrap_up,unknown,neutral,1,0.30,0.00,conv_ead765b0087f_sample_0116
